VIDEO_URLS,TITLES,THUMBNAIL_URLS,TIME_OF_POSTING
https://www.youtube.com/watch?v=KWXKegvNa-I,Something Big Coming Soon For Class - 9th & 10th Students 🔥 || Stay Tuned For More Updates 🖋️,https://i.ytimg.com/vi/KWXKegvNa-I/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLDmSg3HSTm6r9HO6jbtt6X2k60Vhg,8 days ago
https://www.youtube.com/watch?v=dArUpCasmnE,Launching PAHAL Batch 🔥 For Class 11th Arts Students 💪,https://i.ytimg.com/vi/dArUpCasmnE/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLBZooZVux6hi4Pe2o44xgW0ZidzdA,2 weeks ago
https://www.youtube.com/watch?v=HqG2QchBw8Y,Launching FUNDO For Class - 6th to 8th Students 🔥💯 || Ab Hoga Padhai Ke Sath FUN 🤩,https://i.ytimg.com/vi/HqG2QchBw8Y/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLCCZpClghOPGpOOQ8S40M4xsoAeAA,2 weeks ago
https://www.youtube.com/watch?v=1izKrQHyx9M,⚡Unleashing the Power of PW Internationally⚡| Launching Physics Wallah Gulf,https://i.ytimg.com/vi/1izKrQHyx9M/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLBGtmz4N3ui0L2WZs2S7qHvnIwQmQ,1 month ago
https://www.youtube.com/watch?v=jXAb1evxaJc,Big Announcement for Gulf Region Aspirants 🔥| Physics Wallah Gulf Channel Trailer🚀,https://i.ytimg.com/vi/jXAb1evxaJc/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLDmeiri9cimEVHPiAh5ootidgIzIg,1 month ago
https://www.youtube.com/watch?v=2dn7XMxRtPE,Arjuna JEE v/s Arjuna NEET 🏏- Class 11th Faculties ka Cricket Match 🔥,https://i.ytimg.com/vi/2dn7XMxRtPE/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLCNuCKbYYT7Bqo7b2xVfh27z3YKMw,1 month ago
https://www.youtube.com/watch?v=Fks4dVnTb5M,How to Study Zoology in Class 11th? Ab Saare Doubts Solve Honge !! 🔥,https://i.ytimg.com/vi/Fks4dVnTb5M/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLCHXf5XebQJcUioL-AX9g1ZXcizVQ,1 month ago
https://www.youtube.com/watch?v=nIuGXeISbSo,"BIGGEST OFFER For Class - 8th ,9th & 10th Students 🤩 || Grab This Opportunity Now 🔥",https://i.ytimg.com/vi/nIuGXeISbSo/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLDnazWdDQJGyaWrFBfL4fojeCtPFg,1 month ago
https://www.youtube.com/watch?v=L5G-0FbyAsc,UDAAN Hindi Batch 🔥| Class 10th वालों के बच्चें के लिए Surprises 🎉🎉 #3SaalLajawaab,https://i.ytimg.com/vi/L5G-0FbyAsc/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLAdyC-5lXf_r6bkEwWQ46yoxdhibA,1 month ago
https://www.youtube.com/watch?v=uqDX6hcRf2I,NEEV 2.0 Batch 🔥 | Class 9th वालों के बच्चें के लिए Surprises 🎉🎉 #3SaalLajawaab,https://i.ytimg.com/vi/uqDX6hcRf2I/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLClh4rZkat6-ZrnFmV1r9LfVQIMIQ,1 month ago
